"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","0","0","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","1","1","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","2","2","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","3","3","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","4","4","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","5","5","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","EXTERNAL_CAMPAIGN_ID","Column EXTERNAL_CAMPAIGN_ID is present in CED","EXTERNAL_CAMPAIGN_ID","Present","6","6","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","SF_CAMPAIGN_ID","Column SF_CAMPAIGN_ID is present in CED","SF_CAMPAIGN_ID","Present","7","7","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","CAMPAIGN_NAME","Column CAMPAIGN_NAME is present in CED","CAMPAIGN_NAME","Present","8","8","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","LAUNCH_NAME","Column LAUNCH_NAME is present in CED","LAUNCH_NAME","Present","9","9","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","LAUNCH_STATUS","Column LAUNCH_STATUS is present in CED","LAUNCH_STATUS","Present","10","10","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","LAUNCH_TYPE","Column LAUNCH_TYPE is present in CED","LAUNCH_TYPE","Present","11","11","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","LAUNCH_CHARSET","Column LAUNCH_CHARSET is present in CED","LAUNCH_CHARSET","Present","12","12","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","PURPOSE","Column PURPOSE is present in CED","PURPOSE","Present","13","13","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","SUBJECT","Column SUBJECT is present in CED","SUBJECT","Present","14","14","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","DESCRIPTION","Column DESCRIPTION is present in CED","DESCRIPTION","Present","15","15","Column is in Order"
"LAUNCH_STATE","7668_LAUNCH_STATE_20191027_084303.txt","PRODUCT_CATEGORY","Column PRODUCT_CATEGORY is present in CED","PRODUCT_CATEGORY","Present","16","16","Column is in Order"
