"Event Types","File Name","ColumnNames From FeedsSetting","Present in CED?","Column in CED","Result","DB Column Index","CED Column Index","Column Order Result"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","EVENT_UUID","Column EVENT_UUID is present in CED","EVENT_UUID","Present","0","0","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","1","1","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","2","2","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","3","3","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","4","4","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","5","5","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","6","6","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","REGION_NAME","Column REGION_NAME is present in CED","REGION_NAME","Present","7","7","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","RULE_NAME","Column RULE_NAME is present in CED","RULE_NAME","Present","8","8","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","CONTENT_TYPE","Column CONTENT_TYPE is present in CED","CONTENT_TYPE","Present","9","9","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","CONTENT","Column CONTENT is present in CED","CONTENT","Present","10","10","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","EMAIL_FORMAT","Column EMAIL_FORMAT is present in CED","EMAIL_FORMAT","Present","11","11","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","SIGNATURE_ID","Column SIGNATURE_ID is present in CED","SIGNATURE_ID","Present","12","12","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","SIGNATURE","Column SIGNATURE is present in CED","SIGNATURE","Present","13","13","Column is in Order"
"DYNAMIC_CONTENT","100341_DYNAMIC_CONTENT_20190603_060502.txt","CONTENT_INDEX","Column CONTENT_INDEX is present in CED","CONTENT_INDEX","Present","14","14","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","ACCOUNT_ID","Column ACCOUNT_ID is present in CED","ACCOUNT_ID","Present","0","0","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","LIST_ID","Column LIST_ID is present in CED","LIST_ID","Present","1","1","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","$CAMPAIGN(CAMPAIGN_ID).externalCampaignCode:EXT_CAMPAIGN_ID","Column EXT_CAMPAIGN_ID (which is configured in headers using built-in $CAMPAIGN(CAMPAIGN_ID).externalCampaignCode:EXT_CAMPAIGN_ID) is present in CED","EXT_CAMPAIGN_ID","Present","2","2","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","EVENT_CAPTURED_DT","Column EVENT_CAPTURED_DT is present in CED","EVENT_CAPTURED_DT","Present","3","3","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","EVENT_STORED_DT","Column EVENT_STORED_DT is present in CED","EVENT_STORED_DT","Present","4","4","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","CAMPAIGN_ID","Column CAMPAIGN_ID is present in CED","CAMPAIGN_ID","Present","5","5","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","LAUNCH_ID","Column LAUNCH_ID is present in CED","LAUNCH_ID","Present","6","6","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","EXTERNAL_CAMPAIGN_ID","Column EXTERNAL_CAMPAIGN_ID is present in CED","EXTERNAL_CAMPAIGN_ID","Present","7","7","Column is in Order"
"LAUNCH_STATE","100341_LAUNCH_STATE_20190603_060501.txt","SF_CAMPAIGN_ID","Column SF_CAMPAIGN_ID is present in CED","SF_CAMPAIGN_ID","Present","8","8","Column is in Order"
