"EVENT_TYPE","FILE_NAME","KEY","ID","COUNT_FROM_CED","COUNT_FROM_DB","EventsToBeProcessed","Eventsalready_processed","STATUS","Comments"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029721","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2006201","3","3","3","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2030021","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029901","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2005961","5","5","2","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029781","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2006121","3","3","3","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2011761","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029701","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029821","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2030061","3","3","3","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029741","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029961","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2030001","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029881","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029801","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029681","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029841","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029941","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029661","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029981","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029921","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029861","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2029761","4","4","4","0","Pass","Count for the ID Match"
"LAUNCH_STATE","291072_LAUNCH_STATE_20190725_063501.txt","LAUNCH_ID","2006281","4","4","4","0","Pass","Count for the ID Match"
"OPEN","291072_OPEN_20190725_063501.txt","LAUNCH_ID","2029661","1","1","1","0","Pass","Count for the ID Match"
"OPEN","291072_OPEN_20190725_063501.txt","LAUNCH_ID","2029901","2","2","2","0","Pass","Count for the ID Match"
"OPEN","291072_OPEN_20190725_063501.txt","LAUNCH_ID","2029701","1","1","1","0","Pass","Count for the ID Match"
"OPEN","291072_OPEN_20190725_063501.txt","LAUNCH_ID","2029881","1","1","1","0","Pass","Count for the ID Match"
"OPEN","291072_OPEN_20190725_063501.txt","LAUNCH_ID","2029821","1","1","1","0","Pass","Count for the ID Match"
"OPEN","291072_OPEN_20190725_063501.txt","LAUNCH_ID","2029761","1","1","1","0","Pass","Count for the ID Match"
"OPEN","291072_OPEN_20190725_063501.txt","LAUNCH_ID","2029681","1","1","1","0","Pass","Count for the ID Match"
"SENT","291072_SENT_20190725_063500.txt","LAUNCH_ID","2030021","5","5","5","0","Pass","Count for the ID Match"
"SENT","291072_SENT_20190725_063500.txt","LAUNCH_ID","2029721","5","5","5","0","Pass","Count for the ID Match"
"SENT","291072_SENT_20190725_063500.txt","LAUNCH_ID","2029901","5","5","5","0","Pass","Count for the ID Match"
