"EVENT_TYPE","FILE_NAME","KEY","ID","COUNT_FROM_CED","COUNT_FROM_DB","EventsToBeProcessed","Eventsalready_processed","STATUS","Comments"
"WEBPUSH_BUTTON_CLICKED","30336_WEBPUSH_BUTTON_CLICKED_20210317_091649.txt","LAUNCH_ID","200820204","3","3","3","0","Pass","Count for the ID Match"
"MMS_FAILED","30336_MMS_FAILED_20210317_091648.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"CUSTOM_CHANNEL_SENT","30336_CUSTOM_CHANNEL_SENT_20210317_091649.txt","LAUNCH_ID","200820201","10","10","10","0","Pass","Count for the ID Match"
"SMS_FAIL","30336_SMS_FAIL_20210317_091648.txt","LAUNCH_ID","200820202","2","2","2","0","Pass","Count for the ID Match"
"PUSH_CONVERTED","30336_PUSH_CONVERTED_20210317_091648.txt","LAUNCH_ID","200820203","2","2","2","0","Pass","Count for the ID Match"
"SMS_MO_FW_FAILED","30336_SMS_MO_FW_FAILED_20210317_091648.txt","LAUNCH_ID","200820202","10","10","10","0","Pass","Count for the ID Match"
"CLICK","30336_CLICK_20210317_091648.txt","LAUNCH_ID","200820201","3","3","3","0","Pass","Count for the ID Match"
"CUSTOM_CHANNEL_SKIPPED","30336_CUSTOM_CHANNEL_SKIPPED_20210317_091649.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"CONVERT","30336_CONVERT_20210317_091648.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"FAIL","30336_FAIL_20210317_091648.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"FORM_STATE","30336_FORM_STATE_20210317_091649.txt","FORM_ID","85381","1","1","1","0","Pass","Count for the ID Match"
"SKIPPED","30336_SKIPPED_20210317_091648.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"PUSH_INBOX_SENT","30336_PUSH_INBOX_SENT_20210317_091649.txt","LAUNCH_ID","200820203","2","2","2","0","Pass","Count for the ID Match"
"PUSH_OPT_OUT","30336_PUSH_OPT_OUT_20210317_091649.txt","RIID","76001881","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPT_OUT","30336_PUSH_OPT_OUT_20210317_091649.txt","RIID","76001901","1","1","1","0","Pass","Count for the ID Match"
"PUSH_SENT","30336_PUSH_SENT_20210317_091648.txt","LAUNCH_ID","200820203","10","10","10","0","Pass","Count for the ID Match"
"SENT","30336_SENT_20210317_091648.txt","LAUNCH_ID","200820201","10","10","10","0","Pass","Count for the ID Match"
"BOUNCE","30336_BOUNCE_20210317_091648.txt","LAUNCH_ID","201681","1","1","1","0","Pass","Count for the ID Match"
"BOUNCE","30336_BOUNCE_20210317_091648.txt","LAUNCH_ID","204881","1","1","1","0","Pass","Count for the ID Match"
"BOUNCE","30336_BOUNCE_20210317_091648.txt","LAUNCH_ID","204081","1","1","1","0","Pass","Count for the ID Match"
"BOUNCE","30336_BOUNCE_20210317_091648.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"BOUNCE","30336_BOUNCE_20210317_091648.txt","LAUNCH_ID","204581","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_OUT","30336_SMS_OPT_OUT_20210317_091648.txt","RIID","34001601","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_OUT","30336_SMS_OPT_OUT_20210317_091648.txt","RIID","34001621","1","1","1","0","Pass","Count for the ID Match"
"CUSTOM_CHANNEL_FAILED","30336_CUSTOM_CHANNEL_FAILED_20210317_091649.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"DYNAMIC_CONTENT","30336_DYNAMIC_CONTENT_20210317_091649.txt","LAUNCH_ID","200820201","1","1","1","0","Pass","Count for the ID Match"
"PUSH_BUTTON_CLICKED","30336_PUSH_BUTTON_CLICKED_20210317_091648.txt","LAUNCH_ID","200820203","3","3","3","0","Pass","Count for the ID Match"
"SMS_SENT","30336_SMS_SENT_20210317_091648.txt","LAUNCH_ID","200820202","10","10","10","0","Pass","Count for the ID Match"
"WEBPUSH_OPT_OUT","30336_WEBPUSH_OPT_OUT_20210317_091649.txt","RIID","76002101","1","1","1","0","Pass","Count for the ID Match"
"MMS_SKIPPED","30336_MMS_SKIPPED_20210317_091648.txt","LAUNCH_ID","200820201","2","2","2","0","Pass","Count for the ID Match"
"WEBPUSH_CLOSED","30336_WEBPUSH_CLOSED_20210317_091649.txt","LAUNCH_ID","200820204","1","1","1","0","Pass","Count for the ID Match"
"PUSH_CLICKED","30336_PUSH_CLICKED_20210317_091648.txt","LAUNCH_ID","200820203","3","3","3","0","Pass","Count for the ID Match"
"FORM","30336_FORM_20210317_091649.txt","FORM_ID","85381","4","4","4","0","Pass","Count for the ID Match"
"WEBPUSH_CONVERTED","30336_WEBPUSH_CONVERTED_20210317_091649.txt","LAUNCH_ID","200820204","2","2","2","0","Pass","Count for the ID Match"
"SMS_DELIVERED","30336_SMS_DELIVERED_20210317_091648.txt","LAUNCH_ID","200820202","3","3","3","0","Pass","Count for the ID Match"
"SMS_OPT_IN","30336_SMS_OPT_IN_20210317_091648.txt","RIID","34001601","1","1","1","0","Pass","Count for the ID Match"
"SMS_OPT_IN","30336_SMS_OPT_IN_20210317_091648.txt","RIID","34001621","1","1","1","0","Pass","Count for the ID Match"
"PUSH_OPT_IN","30336_PUSH_OPT_IN_20210317_091649.txt","RIID","76001881","1","1","1","0","Pass","Count for the ID Match"
