"EVENT_TYPE","FILE_NAME","KEY","ID","COUNT_FROM_CED","COUNT_FROM_DB","EventsToBeProcessed","Eventsalready_processed","STATUS","Comments"
"APPCLOUD_FAILED","30336_APPCLOUD_FAILED_20190827_051104.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"APPCLOUD_FAILED","30336_APPCLOUD_FAILED_20190827_051104.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"APPCLOUD_SENT","30336_APPCLOUD_SENT_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"APPCLOUD_SENT","30336_APPCLOUD_SENT_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"APPCLOUD_SKIPPED","30336_APPCLOUD_SKIPPED_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"APPCLOUD_SKIPPED","30336_APPCLOUD_SKIPPED_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"BOUNCE","30336_BOUNCE_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"BOUNCE","30336_BOUNCE_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"CLICK","30336_CLICK_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"CLICK","30336_CLICK_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"CLICK","30336_CLICK_20190827_051102.txt","LAUNCH_ID","2221","1","1","1","0","Pass","Count for the ID Match"
"COMPLAINT","30336_COMPLAINT_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"COMPLAINT","30336_COMPLAINT_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"CONVERT","30336_CONVERT_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"CONVERT","30336_CONVERT_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"DYNAMIC_CONTENT","30336_DYNAMIC_CONTENT_20190827_051103.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"DYNAMIC_CONTENT","30336_DYNAMIC_CONTENT_20190827_051103.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"FAIL","30336_FAIL_20190827_051102.txt","LAUNCH_ID","2061","1","1","1","0","Pass","Count for the ID Match"
"FAIL","30336_FAIL_20190827_051102.txt","LAUNCH_ID","1901","2","2","2","0","Pass","Count for the ID Match"
"FORM","30336_FORM_20190827_051103.txt","FORM_ID","28581","3","3","3","0","Pass","Count for the ID Match"
